,MAL_ID,Name,Score,Genres,English name,Japanese name,Type,Episodes,Aired,Premiered,Producers,Licensors,Studios,Source,Duration,Rating,Ranked,Popularity,Members,Favorites,Watching,Completed,On-Hold,Dropped,Plan to Watch,Score-10,Score-9,Score-8,Score-7,Score-6,Score-5,Score-4,Score-3,Score-2,Score-1
1722,1891,YAT Anshin! Uchuu Ryokou,6.98,"Adventure, Comedy, Sci-Fi, Shounen",Unknown,ＹＡＴ　安心！宇宙旅行,TV,50,"Oct 5, 1996 to Sep 27, 1997",Fall 1996,NHK,Unknown,"Xebec, Group TAC",Original,25 min. per ep.,PG-13 - Teens 13 or older,3725.0,9380,1611,8,69,741,64,119,618,45.0,60.0,112.0,171.0,104.0,46.0,15.0,6.0,3.0,5.0
14285,37476,Cardfight!! Vanguard (2018),6.76,"Action, Game, Shounen",Unknown,カードファイト!! ヴァンガード (2018),TV,52,"May 5, 2018 to May 4, 2019",Spring 2018,Unknown,Unknown,OLM,Original,23 min. per ep.,PG-13 - Teens 13 or older,4609.0,5468,7611,45,1233,3166,562,721,1929,187.0,189.0,496.0,849.0,627.0,368.0,113.0,58.0,30.0,47.0
9999,29391,Pinky Wakuwaku Tabi Stroll,5.13,Slice of Life,Unknown,ピンキーわくわく旅ストロ,ONA,7,"Dec 1, 2000 to Dec 25, 2000",Unknown,Unknown,Unknown,Unknown,Unknown,1 min. per ep.,G - All Ages,10446.0,13909,266,0,11,162,3,39,51,3.0,2.0,1.0,3.0,10.0,17.0,21.0,21.0,12.0,21.0
882,977,Ginga Teikoku no Metsubou Gaiden: Aoki Ookami-tachi no Densetsu,5.44,"Action, Sci-Fi, Hentai, Mecha, Yaoi",The Legend of the Blue Wolves,銀河帝国の滅亡・外伝　蒼き狼たちの伝説,OVA,1,"Dec 18, 1996",Unknown,Unknown,Media Blasters,Phoenix Entertainment,Original,45 min.,Rx - Hentai,Unknown,5730,6783,17,145,4704,56,190,1688,153.0,121.0,254.0,505.0,603.0,633.0,386.0,191.0,206.0,205.0
1229,1360,Makai Tenshi Djibril,6.47,Hentai,Jiburiru:The Devil Angel,魔界天使ジブリール,OVA,4,"Nov 26, 2004 to Jun 24, 2005",Unknown,"Animac, JapanAnime",Unknown,Unknown,Visual novel,30 min. per ep.,Rx - Hentai,Unknown,5306,8207,34,522,4773,302,295,2315,230.0,205.0,482.0,796.0,646.0,459.0,181.0,101.0,50.0,62.0
12745,34999,Kiitarou Shounen no Youkai Enikki: Jonan no Saijitsu,6.14,"Comedy, Ecchi, Supernatural",Unknown,奇異太郎少年の妖怪絵日記 女難の祭日,Special,1,"Jan 27, 2017",Unknown,Unknown,Unknown,Creators in Pack,Web manga,4 min.,PG-13 - Teens 13 or older,7602.0,7824,2980,0,196,951,76,61,1696,38.0,16.0,49.0,122.0,199.0,91.0,30.0,19.0,10.0,11.0
10038,29493,Kyouryou Pikora,Unknown,"Kids, Adventure",Unknown,恐竜ピコラ,Special,1,"Aug 1, 1995",Unknown,NHK,Unknown,Unknown,Unknown,5 min.,PG - Children,15256.0,15995,139,0,6,66,2,27,38,8.0,Unknown,2.0,1.0,5.0,6.0,7.0,7.0,2.0,8.0
5642,9107,Pokemon Best Wishes!,6.4,"Action, Adventure, Comedy, Fantasy, Kids",Pokémon:Black & White,ポケットモンスターベストウイッシュ,TV,84,"Sep 23, 2010 to Jun 14, 2012",Fall 2010,"TV Tokyo, MediaNet, Half H.P Studio, Studio Jack","VIZ Media, The Pokemon Company International",OLM,Game,22 min. per ep.,PG - Children,6390.0,1796,71657,160,2962,52475,3030,5845,7345,2404.0,2616.0,5417.0,10360.0,9260.0,6110.0,3275.0,1479.0,777.0,490.0
3529,4162,Taiho Shichau zo: Nagisa no Koutsuu Yuudou,7.08,"Action, Police, Comedy, Seinen",You're Under Arrest:Diverting Traffic at the Beach,逮捕しちゃうぞ 渚の交通誘導,Special,1,1997,Unknown,"Bandai Visual, TBS",AnimEigo,Studio Deen,Manga,24 min.,PG-13 - Teens 13 or older,3311.0,7114,3974,3,92,2465,74,45,1298,110.0,175.0,386.0,544.0,285.0,121.0,44.0,16.0,10.0,5.0
9454,26101,Boku to Gaku: Ano Natsu no Monogatari,Unknown,"Historical, Drama, Kids",Unknown,ボクとガク ～あの夏のものがたり～,OVA,1,2009,Unknown,Unknown,Unknown,Toei Animation,Unknown,42 min.,G - All Ages,13459.0,14944,194,0,8,54,3,46,83,5.0,Unknown,1.0,9.0,5.0,1.0,2.0,Unknown,3.0,4.0
5256,8156,Gegege no Kitarou: Obake Nighter,6.13,"Sports, Demons, Supernatural",Spooky Kitaro:The Obake Nighter,ゲゲゲの鬼太郎　おばけナイター,Movie,1,"Mar 8, 1997",Unknown,Unknown,Unknown,Toei Animation,Manga,30 min.,G - All Ages,7663.0,11418,665,1,29,241,21,56,318,11.0,5.0,14.0,39.0,40.0,25.0,5.0,6.0,3.0,3.0
10707,30905,Owanko,Unknown,Comedy,Unknown,おわんこ,ONA,7,"Nov 22, 2012 to Apr 18, 2014",Unknown,Unknown,Unknown,Production Reed,Unknown,1 min. per ep.,G - All Ages,11454.0,15138,187,0,13,72,1,31,70,3.0,1.0,1.0,4.0,11.0,11.0,7.0,7.0,2.0,6.0
15441,39209,Just a Seeker's Song,Unknown,"Dementia, Music",Just a Seeker's Song,Just a Seeker's Song,Music,1,2007,Unknown,Victor Entertainment,Unknown,Unknown,Original,4 min.,PG - Children,14724.0,16224,127,0,3,99,0,8,17,5.0,Unknown,2.0,2.0,13.0,15.0,15.0,6.0,5.0,6.0
10677,30831,Kono Subarashii Sekai ni Shukufuku wo!,8.15,"Adventure, Comedy, Fantasy, Magic, Parody, Supernatural",KonoSuba:God's Blessing on This Wonderful World!,この素晴らしい世界に祝福を！,TV,10,"Jan 14, 2016 to Mar 17, 2016",Winter 2016,"Half H.P Studio, Nippon Columbia, KlockWorx, Sony Music Communications, Toranoana, 81 Produce, Kadokawa Media House","Discotek Media, Crunchyroll",Studio Deen,Light novel,23 min. per ep.,PG-13 - Teens 13 or older,363.0,34,1290898,35019,59954,1041324,20488,21008,148124,129180.0,216190.0,276488.0,143322.0,44991.0,16969.0,6811.0,2634.0,1482.0,1634.0
15815,39810,Kyou Kara Maou! Recap,6.02,"Adventure, Comedy, Fantasy",Unknown,今日からマ王！ 大全集 その,Special,1,"Dec 16, 2005",Unknown,Unknown,Unknown,Unknown,Light novel,25 min.,PG-13 - Teens 13 or older,8147.0,11116,755,0,48,247,24,29,407,19.0,4.0,9.0,23.0,31.0,21.0,5.0,7.0,3.0,4.0
2873,3193,Asobot Senki Gokuu,6.62,"Action, Sci-Fi, Adventure, Comedy, Shounen",Monkey Typhoon,アソボット戦記五九,TV,52,"Oct 1, 2002 to Sep 30, 2003",Fall 2002,TV Tokyo,Unknown,Studio Egg,Manga,23 min. per ep.,PG-13 - Teens 13 or older,5287.0,8052,2730,6,145,1154,160,227,1044,47.0,57.0,159.0,279.0,191.0,116.0,42.0,22.0,17.0,13.0
8834,23061,Heya/Keitai,5.6,"Fantasy, Music",Gestalt,部屋/形態,Movie,1,"Jan, 1999",Unknown,Unknown,Unknown,Unknown,Original,6 min.,G - All Ages,9353.0,11327,693,1,16,424,10,27,216,12.0,6.0,26.0,34.0,71.0,65.0,26.0,18.0,14.0,14.0
9201,24795,Boku wa Ou-sama (TV) Special,Unknown,Kids,Unknown,ぼくは王さま (2013),Special,2,"Jun 29, 2013 to Sep 28, 2013",Unknown,Unknown,Unknown,Graphinica,Picture book,25 min. per ep.,PG - Children,13474.0,15489,163,0,4,54,6,43,56,11.0,Unknown,3.0,1.0,5.0,2.0,5.0,2.0,4.0,8.0
12816,35091,Hachigatsu Kokonoka Nagasaki,Unknown,"Drama, Historical",Unknown,8月9日・長崎,OVA,1,1980,Unknown,Unknown,Unknown,Unknown,Other,10 min.,G - All Ages,14221.0,16956,86,0,4,20,2,29,31,3.0,Unknown,1.0,1.0,2.0,4.0,Unknown,Unknown,Unknown,4.0
8881,23267,Osaru no Tairyou,5.42,Slice of Life,Unknown,お猿の大漁,Movie,1,"Dec 1, 1933",Unknown,Unknown,Unknown,Unknown,Original,9 min.,G - All Ages,9879.0,12615,411,0,17,258,7,49,80,7.0,1.0,6.0,15.0,26.0,49.0,14.0,19.0,9.0,23.0
9332,25439,Choboraunyopomi Gekijou Dai Ni Maku Ai Mai Mii: Mousou Catastrophe Special,5.64,"Slice of Life, Comedy",Unknown,あいまいみー～妄想カタストロフ～,Special,1,"Oct 10, 2014",Unknown,Dream Creation,Unknown,Seven,4-koma manga,3 min.,PG-13 - Teens 13 or older,9320.0,7579,3305,1,63,2185,55,52,950,54.0,34.0,98.0,247.0,354.0,318.0,169.0,82.0,51.0,45.0
4408,5994,Midoriyama Koukou Koushien-hen,Unknown,"Comedy, School, Sports",Unknown,緑山高校 甲子園編,OVA,10,"Sep 25, 1989 to Dec 16, 1990",Unknown,Animaruya,Unknown,Unknown,Unknown,30 min. per ep.,PG-13 - Teens 13 or older,15542.0,13299,318,0,17,81,8,45,167,7.0,1.0,13.0,11.0,7.0,10.0,2.0,Unknown,3.0,3.0
5423,8546,"Dr. Slump Movie 02: ""Hoyoyo!"" Uchuu Daibouken",6.45,"Comedy, Sci-Fi, Shounen","Dr. Slump:""Hoyoyo!"" Space Adventure",Dr.SLUMP “ほよよ!”宇宙大冒険,Movie,1,"Jul 10, 1982",Unknown,Unknown,Discotek Media,Toei Animation,Manga,1 hr. 30 min.,PG-13 - Teens 13 or older,6166.0,9946,1253,0,35,674,23,48,473,21.0,21.0,62.0,128.0,108.0,58.0,28.0,6.0,2.0,8.0
7319,15787,Backstage Idol Story,Unknown,Music,Unknown,バックステージ・アイドル・ストーリー,TV,8,"Oct 11, 2012 to Nov 29, 2012",Fall 2012,Unknown,Unknown,Unknown,Unknown,10 min. per ep.,PG-13 - Teens 13 or older,13370.0,11803,570,1,34,101,16,77,342,3.0,7.0,4.0,9.0,7.0,18.0,7.0,5.0,6.0,10.0
8231,20117,Kotowaza House,Unknown,"Comedy, Slice of Life",Unknown,ことわざハウス,TV,773,"Apr 4, 1987 to Sep 28, 1994",Spring 1987,Unknown,Unknown,Eiken,Unknown,5 min. per ep.,Unknown,15167.0,12989,357,0,19,166,10,68,94,11.0,1.0,12.0,5.0,19.0,22.0,14.0,3.0,5.0,8.0
17147,42865,Ashi,Unknown,Music,Unknown,足,Music,1,"Oct 18, 2011",Unknown,Unknown,Unknown,Unknown,Original,3 min.,G - All Ages,13342.0,17040,82,0,3,63,1,2,13,3.0,Unknown,4.0,7.0,11.0,7.0,4.0,1.0,1.0,2.0
12447,34488,Gan Gan Ganko-chan,Unknown,"Sci-Fi, Comedy, Kids",Unknown,がん がん がんこちゃん,TV,10,"Dec 19, 2016 to Mar 27, 2017",Winter 2017,Unknown,Unknown,10Gauge,Other,5 min. per ep.,G - All Ages,14056.0,13709,283,0,15,67,10,65,126,5.0,Unknown,2.0,8.0,9.0,9.0,5.0,7.0,1.0,9.0
39,58,Blue Gender,7.05,"Adventure, Romance, Mecha, Military, Sci-Fi, Horror, Space, Drama",Blue Gender,BLUE GENDER,TV,26,"Oct 8, 1999 to Mar 31, 2000",Fall 1999,"Youmex, Toshiba EMI",Funimation,AIC,Original,23 min. per ep.,R+ - Mild Nudity,3455.0,1886,65360,389,2738,31583,2534,3195,25310,1451.0,2733.0,5800.0,7810.0,4354.0,2327.0,1012.0,381.0,229.0,168.0
4249,5643,Kimi no Na wo Yobeba,6.39,"Hentai, School",Unknown,キミの名を呼べば,OVA,2,"Nov 28, 2008 to Feb 27, 2009",Unknown,Unknown,Unknown,Suzuki Mirano,Manga,27 min. per ep.,Rx - Hentai,Unknown,7002,4111,21,286,2130,159,174,1362,101.0,110.0,240.0,336.0,278.0,184.0,87.0,54.0,36.0,43.0
17324,44037,"Shin no Nakama ja Nai to Yuusha no Party wo Oidasareta node, Henkyou de Slow Life suru Koto ni Shima",Unknown,"Adventure, Slice of Life, Fantasy",Unknown,真の仲間じゃないと勇者のパーティーを追い出されたので、辺境でスローライフすることにしました,TV,Unknown,Unknown,Unknown,Unknown,Unknown,"Studio Flad, Wolfsbane",Light novel,Unknown,Unknown,Unknown,7511,3502,16,0,0,0,0,3502,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
8918,23369,Bakuman. 2nd Season Special,6.71,Comedy,Unknown,バクマン。『ラッコ11号』,Special,1,"Sep 26, 2012",Unknown,Unknown,Unknown,J.C.Staff,Manga,4 min.,PG-13 - Teens 13 or older,4834.0,4403,13119,14,189,8709,184,163,3874,447.0,429.0,818.0,1371.0,1208.0,689.0,236.0,93.0,56.0,47.0
6072,10112,Alexandros no Ketsudan,Unknown,Historical,Alexander's Decision,アレクサンドロスの決断,OVA,1,"Jun, 2003",Unknown,Shinano Kikaku,Unknown,Unknown,Unknown,45 min.,PG-13 - Teens 13 or older,13244.0,12219,480,1,17,149,16,43,255,8.0,1.0,4.0,14.0,23.0,29.0,7.0,12.0,2.0,3.0
1595,1756,Di Gi Charat Natsuyasumi Special,6.59,Comedy,Unknown,Di Gi Charat 夏休みスペシャル,Special,4,"Aug 2, 2001 to Aug 3, 2001",Unknown,TBS,Unknown,Unknown,Unknown,11 min. per ep.,G - All Ages,5421.0,8477,2318,2,36,1612,38,58,574,57.0,73.0,158.0,276.0,247.0,113.0,53.0,22.0,11.0,8.0
10142,29758,Taboo Tattoo,5.79,"Action, Mystery, Comedy, Super Power, Supernatural, Martial Arts, Seinen",Taboo Tattoo,タブー・タトゥー,TV,12,"Jul 5, 2016 to Sep 20, 2016",Summer 2016,"TV Tokyo, Sotsu, AT-X, Magic Capsule, KlockWorx, DIVE II Entertainment, Avex Pictures, BS Japan","Funimation, Crunchyroll",J.C.Staff,Manga,24 min. per ep.,R - 17+ (violence & profanity),8860.0,679,215902,193,19168,115277,7843,29143,44471,2896.0,3727.0,10061.0,19847.0,21860.0,16569.0,11610.0,6104.0,3755.0,2488.0
10473,30329,Nice to See You,4.75,Dementia,Unknown,ナイス･トゥー･シー･ユー,Movie,1,1975,Unknown,Unknown,Unknown,Unknown,Unknown,3 min.,G - All Ages,10774.0,12959,356,0,5,271,3,32,45,8.0,1.0,Unknown,8.0,4.0,19.0,21.0,24.0,38.0,70.0
9847,28685,Tough Guy!,5.55,"Action, Comedy",Tough Guy!,Tough Guy!,Movie,1,"Jun 3, 2005",Unknown,Unknown,Unknown,Unknown,Original,6 min.,G - All Ages,9553.0,13379,312,0,18,152,2,28,112,6.0,4.0,5.0,15.0,15.0,16.0,20.0,15.0,5.0,14.0
40,59,Chobits,7.43,"Sci-Fi, Comedy, Drama, Romance, Ecchi, Seinen",Chobits,ちょびっツ,TV,26,"Apr 3, 2002 to Sep 25, 2002",Spring 2002,"TBS, Pioneer LDC","Funimation, Geneon Entertainment USA",Madhouse,Manga,24 min. per ep.,PG-13 - Teens 13 or older,1804.0,332,402646,3859,15294,272425,18082,22409,74436,20499.0,32733.0,55560.0,58689.0,29800.0,14855.0,5772.0,2124.0,1159.0,816.0
12314,34234,Ohayou! Kokekkou-san,Unknown,"Comedy, Kids",Unknown,おはよう! コケッコーさん,TV,50,"Oct 2, 2016 to Sep 17, 2016",Fall 2016,TMS Music,Unknown,"TMS Entertainment, TOCSIS",Original,3 min. per ep.,G - All Ages,11281.0,14974,194,0,23,28,2,80,61,4.0,Unknown,Unknown,3.0,5.0,2.0,4.0,4.0,Unknown,7.0
12579,34718,Sekisou-tai,Unknown,Dementia,Laminated Structure,積層体,Movie,1,1982,Unknown,Unknown,Unknown,Unknown,Original,Unknown,G - All Ages,11865.0,16946,86,0,6,24,3,26,27,3.0,Unknown,1.0,5.0,1.0,4.0,1.0,Unknown,Unknown,4.0
17340,44069,Xian Wang de Richang Shenghuo 2nd Season,Unknown,"Adventure, Slice of Life, Comedy, Demons, Fantasy, School",Unknown,仙王的日常生活 第二季,ONA,Unknown,2021 to ?,Unknown,Unknown,Unknown,Haoliners Animation League,Novel,Unknown,PG-13 - Teens 13 or older,Unknown,5265,8504,68,0,0,1,0,8503,1.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
7135,14407,Persona 3 the Movie 1: Spring of Birth,7.59,"Action, Supernatural, Fantasy",Persona 3 the Movie:#1 Spring of Birth,PERSONA3 THE MOVIE —#1 Spring of Birth—,Movie,1,"Nov 23, 2013",Unknown,"Aniplex, Yomiko Advertising, Atlus",Aniplex of America,AIC ASTA,Game,1 hr. 38 min.,R - 17+ (violence & profanity),1297.0,1506,91615,498,1676,62292,665,452,26530,4209.0,7311.0,14250.0,13521.0,5025.0,1936.0,694.0,239.0,81.0,82.0
15358,39119,Manga Furusato Mukashibanashi,Unknown,"Adventure, Historical, Kids, Magic, Samurai, Fantasy",Unknown,まんがふるさと昔話,TV,26,"Aug 6, 1976 to Dec 24, 1976",Summer 1976,Unknown,Unknown,Unknown,Other,25 min. per ep.,G - All Ages,15420.0,16712,104,0,5,24,3,30,42,3.0,Unknown,1.0,1.0,Unknown,5.0,1.0,Unknown,1.0,5.0
7826,18139,Tonari no Seki-kun,7.58,"Comedy, School, Seinen",Tonari no Seki-kun:The Master of Killing Time,となりの関くん,TV,21,"Jan 6, 2014 to May 26, 2014",Winter 2014,"Starchild Records, Media Factory",Sentai Filmworks,Shin-Ei Animation,Manga,7 min. per ep.,G - All Ages,1327.0,855,175478,546,12791,103802,8064,7121,43700,6703.0,12193.0,25754.0,25226.0,10097.0,4009.0,936.0,319.0,120.0,144.0
5957,9885,Shin Bikkuriman,Unknown,"Comedy, Fantasy",Unknown,新ビックリマン,TV,72,"Apr 9, 1989 to Aug 26, 1990",Spring 1989,Unknown,Unknown,Toei Animation,Other,25 min. per ep.,PG - Children,11959.0,13425,305,0,18,95,8,66,118,5.0,Unknown,4.0,14.0,5.0,11.0,5.0,6.0,5.0,7.0
2831,3115,Toki no Tabibito: Time Stranger,6.07,"Action, Adventure, Romance, Sci-Fi",Unknown,時空[とき]の旅人 Time Stranger,Movie,1,"Dec 20, 1986",Unknown,Kadokawa Shoten,Unknown,Madhouse,Novel,1 hr. 35 min.,PG-13 - Teens 13 or older,7964.0,7749,3094,4,105,1097,41,54,1797,19.0,24.0,88.0,186.0,258.0,153.0,71.0,27.0,12.0,7.0
4260,5658,Great Mazinger,7.06,"Action, Mecha, Sci-Fi, Shounen",Unknown,グレートマジンガー,TV,56,"Sep 8, 1974 to Sep 26, 1975",Fall 1974,Dynamic Planning,Discotek Media,Toei Animation,Manga,25 min. per ep.,PG-13 - Teens 13 or older,3387.0,6928,4232,15,215,2142,204,183,1488,131.0,173.0,318.0,502.0,272.0,146.0,43.0,11.0,7.0,13.0
743,822,Initial D Extra Stage,7.33,"Action, Cars, Sports, Drama, Seinen",Unknown,頭文字〈イニシャル〉D EXTRA STAGE,OVA,2,"Mar 22, 2001",Unknown,"OB Planning, Fuji TV","Funimation, Tokyopop",Pastel,Manga,27 min. per ep.,R+ - Mild Nudity,2220.0,2718,35581,67,584,29273,267,211,5246,2098.0,2081.0,4425.0,6348.0,3178.0,1155.0,355.0,123.0,48.0,35.0
415,443,Onegai☆Teacher: Himitsu na Futari,7.32,"Comedy, Ecchi, Romance, Sci-Fi",Unknown,おねがい☆ティーチャー ヒミツなふたり,OVA,1,"Oct 25, 2002",Unknown,"Bandai Visual, WOWOW, Lantis","Nozomi Entertainment, Bandai Entertainment",Daume,Original,21 min.,R - 17+ (violence & profanity),2262.0,2469,42389,61,467,36934,266,179,4543,2443.0,3537.0,6033.0,7429.0,3834.0,1787.0,610.0,275.0,139.0,107.0
