,Unnamed: 0,MAL_ID,Name,Genres,English name,Type,Episodes,Aired,Producers,Licensors,Studios,Source,Duration,Rating
10677,10677,30831,Kono Subarashii Sekai ni Shukufuku wo!,"['Adventure', 'Comedy', 'Fantasy', 'Magic', 'Parody', 'Supernatural']",KonoSuba:God's Blessing on This Wonderful World!,TV,10.0,"[datetime.datetime(2016, 1, 14, 0, 0), datetime.datetime(2016, 3, 17, 0, 0)]","['Half H.P Studio', 'Nippon Columbia', 'KlockWorx', 'Sony Music Communications', 'Toranoana', '81 Produce', 'Kadokawa Media House']","['Discotek Media', 'Crunchyroll']",Studio Deen,Light novel,23.0,PG13
15815,15815,39810,Kyou Kara Maou! Recap,"['Adventure', 'Comedy', 'Fantasy']",,Special,1.0,"[datetime.datetime(2005, 12, 16, 0, 0)]",['Unknown'],['Unknown'],,Light novel,25.0,PG13
2873,2873,3193,Asobot Senki Gokuu,"['Action', 'Sci-Fi', 'Adventure', 'Comedy', 'Shounen']",Monkey Typhoon,TV,52.0,"[datetime.datetime(2002, 10, 1, 0, 0), datetime.datetime(2003, 9, 30, 0, 0)]",['TV Tokyo'],['Unknown'],Studio Egg,Manga,23.0,PG13
8834,8834,23061,Heya/Keitai,"['Fantasy', 'Music']",Gestalt,Movie,1.0,"[datetime.datetime(1999, 1, 1, 0, 0)]",['Unknown'],['Unknown'],,Original,6.0,G
9201,9201,24795,Boku wa Ou-sama (TV) Special,['Kids'],,Special,2.0,"[datetime.datetime(2013, 6, 29, 0, 0), datetime.datetime(2013, 9, 28, 0, 0)]",['Unknown'],['Unknown'],Graphinica,Picture book,25.0,PG
12816,12816,35091,Hachigatsu Kokonoka Nagasaki,"['Drama', 'Historical']",,OVA,1.0,"[datetime.datetime(1980, 1, 1, 0, 0)]",['Unknown'],['Unknown'],,Other,10.0,G
8881,8881,23267,Osaru no Tairyou,['Slice of Life'],,Movie,1.0,"[datetime.datetime(1933, 12, 1, 0, 0)]",['Unknown'],['Unknown'],,Original,9.0,G
9332,9332,25439,Choboraunyopomi Gekijou Dai Ni Maku Ai Mai Mii: Mousou Catastrophe Special,"['Slice of Life', 'Comedy']",,Special,1.0,"[datetime.datetime(2014, 10, 10, 0, 0)]",['Dream Creation'],['Unknown'],Seven,4-koma manga,3.0,PG13
4408,4408,5994,Midoriyama Koukou Koushien-hen,"['Comedy', 'School', 'Sports']",,OVA,10.0,"[datetime.datetime(1989, 9, 25, 0, 0), datetime.datetime(1990, 12, 16, 0, 0)]",['Animaruya'],['Unknown'],,,30.0,PG13
5423,5423,8546,"Dr. Slump Movie 02: ""Hoyoyo!"" Uchuu Daibouken","['Comedy', 'Sci-Fi', 'Shounen']","Dr. Slump:""Hoyoyo!"" Space Adventure",Movie,1.0,"[datetime.datetime(1982, 7, 10, 0, 0)]",['Unknown'],['Discotek Media'],Toei Animation,Manga,90.0,PG13
7319,7319,15787,Backstage Idol Story,['Music'],,TV,8.0,"[datetime.datetime(2012, 10, 11, 0, 0), datetime.datetime(2012, 11, 29, 0, 0)]",['Unknown'],['Unknown'],,,10.0,PG13
8231,8231,20117,Kotowaza House,"['Comedy', 'Slice of Life']",,TV,773.0,"[datetime.datetime(1987, 4, 4, 0, 0), datetime.datetime(1994, 9, 28, 0, 0)]",['Unknown'],['Unknown'],Eiken,,5.0,
17147,17147,42865,Ashi,['Music'],,Music,1.0,"[datetime.datetime(2011, 10, 18, 0, 0)]",['Unknown'],['Unknown'],,Original,3.0,G
12447,12447,34488,Gan Gan Ganko-chan,"['Sci-Fi', 'Comedy', 'Kids']",,TV,10.0,"[datetime.datetime(2016, 12, 19, 0, 0), datetime.datetime(2017, 3, 27, 0, 0)]",['Unknown'],['Unknown'],10Gauge,Other,5.0,G
39,39,58,Blue Gender,"['Adventure', 'Romance', 'Mecha', 'Military', 'Sci-Fi', 'Horror', 'Space', 'Drama']",Blue Gender,TV,26.0,"[datetime.datetime(1999, 10, 8, 0, 0), datetime.datetime(2000, 3, 31, 0, 0)]","['Youmex', 'Toshiba EMI']",['Funimation'],AIC,Original,23.0,R+
4249,4249,5643,Kimi no Na wo Yobeba,"['Hentai', 'School']",,OVA,2.0,"[datetime.datetime(2008, 11, 28, 0, 0), datetime.datetime(2009, 2, 27, 0, 0)]",['Unknown'],['Unknown'],Suzuki Mirano,Manga,27.0,Rx
17324,17324,44037,"Shin no Nakama ja Nai to Yuusha no Party wo Oidasareta node, Henkyou de Slow Life suru Koto ni Shima","['Adventure', 'Slice of Life', 'Fantasy']",,TV,,[nan],['Unknown'],['Unknown'],"Studio Flad, Wolfsbane",Light novel,,
8918,8918,23369,Bakuman. 2nd Season Special,['Comedy'],,Special,1.0,"[datetime.datetime(2012, 9, 26, 0, 0)]",['Unknown'],['Unknown'],J.C.Staff,Manga,4.0,PG13
6072,6072,10112,Alexandros no Ketsudan,['Historical'],Alexander's Decision,OVA,1.0,"[datetime.datetime(2003, 6, 1, 0, 0)]",['Shinano Kikaku'],['Unknown'],,,45.0,PG13
1595,1595,1756,Di Gi Charat Natsuyasumi Special,['Comedy'],,Special,4.0,"[datetime.datetime(2001, 8, 2, 0, 0), datetime.datetime(2001, 8, 3, 0, 0)]",['TBS'],['Unknown'],,,11.0,G
10142,10142,29758,Taboo Tattoo,"['Action', 'Mystery', 'Comedy', 'Super Power', 'Supernatural', 'Martial Arts', 'Seinen']",Taboo Tattoo,TV,12.0,"[datetime.datetime(2016, 7, 5, 0, 0), datetime.datetime(2016, 9, 20, 0, 0)]","['TV Tokyo', 'Sotsu', 'AT-X', 'Magic Capsule', 'KlockWorx', 'DIVE II Entertainment', 'Avex Pictures', 'BS Japan']","['Funimation', 'Crunchyroll']",J.C.Staff,Manga,24.0,R
10473,10473,30329,Nice to See You,['Dementia'],,Movie,1.0,"[datetime.datetime(1975, 1, 1, 0, 0)]",['Unknown'],['Unknown'],,,3.0,G
9847,9847,28685,Tough Guy!,"['Action', 'Comedy']",Tough Guy!,Movie,1.0,"[datetime.datetime(2005, 6, 3, 0, 0)]",['Unknown'],['Unknown'],,Original,6.0,G
40,40,59,Chobits,"['Sci-Fi', 'Comedy', 'Drama', 'Romance', 'Ecchi', 'Seinen']",Chobits,TV,26.0,"[datetime.datetime(2002, 4, 3, 0, 0), datetime.datetime(2002, 9, 25, 0, 0)]","['TBS', 'Pioneer LDC']","['Funimation', 'Geneon Entertainment USA']",Madhouse,Manga,24.0,PG13
12314,12314,34234,Ohayou! Kokekkou-san,"['Comedy', 'Kids']",,TV,50.0,"[datetime.datetime(2016, 10, 2, 0, 0), datetime.datetime(2016, 9, 17, 0, 0)]",['TMS Music'],['Unknown'],"TMS Entertainment, TOCSIS",Original,3.0,G
12579,12579,34718,Sekisou-tai,['Dementia'],Laminated Structure,Movie,1.0,"[datetime.datetime(1982, 1, 1, 0, 0)]",['Unknown'],['Unknown'],,Original,,G
17340,17340,44069,Xian Wang de Richang Shenghuo 2nd Season,"['Adventure', 'Slice of Life', 'Comedy', 'Demons', 'Fantasy', 'School']",,ONA,,"[datetime.datetime(2021, 1, 1, 0, 0), nan]",['Unknown'],['Unknown'],Haoliners Animation League,Novel,,PG13
7135,7135,14407,Persona 3 the Movie 1: Spring of Birth,"['Action', 'Supernatural', 'Fantasy']",Persona 3 the Movie:#1 Spring of Birth,Movie,1.0,"[datetime.datetime(2013, 11, 23, 0, 0)]","['Aniplex', 'Yomiko Advertising', 'Atlus']",['Aniplex of America'],AIC ASTA,Game,98.0,R
15358,15358,39119,Manga Furusato Mukashibanashi,"['Adventure', 'Historical', 'Kids', 'Magic', 'Samurai', 'Fantasy']",,TV,26.0,"[datetime.datetime(1976, 8, 6, 0, 0), datetime.datetime(1976, 12, 24, 0, 0)]",['Unknown'],['Unknown'],,Other,25.0,G
7826,7826,18139,Tonari no Seki-kun,"['Comedy', 'School', 'Seinen']",Tonari no Seki-kun:The Master of Killing Time,TV,21.0,"[datetime.datetime(2014, 1, 6, 0, 0), datetime.datetime(2014, 5, 26, 0, 0)]","['Starchild Records', 'Media Factory']",['Sentai Filmworks'],Shin-Ei Animation,Manga,7.0,G
5957,5957,9885,Shin Bikkuriman,"['Comedy', 'Fantasy']",,TV,72.0,"[datetime.datetime(1989, 4, 9, 0, 0), datetime.datetime(1990, 8, 26, 0, 0)]",['Unknown'],['Unknown'],Toei Animation,Other,25.0,PG
2831,2831,3115,Toki no Tabibito: Time Stranger,"['Action', 'Adventure', 'Romance', 'Sci-Fi']",,Movie,1.0,"[datetime.datetime(1986, 12, 20, 0, 0)]",['Kadokawa Shoten'],['Unknown'],Madhouse,Novel,95.0,PG13
4260,4260,5658,Great Mazinger,"['Action', 'Mecha', 'Sci-Fi', 'Shounen']",,TV,56.0,"[datetime.datetime(1974, 9, 8, 0, 0), datetime.datetime(1975, 9, 26, 0, 0)]",['Dynamic Planning'],['Discotek Media'],Toei Animation,Manga,25.0,PG13
743,743,822,Initial D Extra Stage,"['Action', 'Cars', 'Sports', 'Drama', 'Seinen']",,OVA,2.0,"[datetime.datetime(2001, 3, 22, 0, 0)]","['OB Planning', 'Fuji TV']","['Funimation', 'Tokyopop']",Pastel,Manga,27.0,R+
415,415,443,Onegai☆Teacher: Himitsu na Futari,"['Comedy', 'Ecchi', 'Romance', 'Sci-Fi']",,OVA,1.0,"[datetime.datetime(2002, 10, 25, 0, 0)]","['Bandai Visual', 'WOWOW', 'Lantis']","['Nozomi Entertainment', 'Bandai Entertainment']",Daume,Original,21.0,R
12354,12354,34314,Crayon Shin-chan Gaiden: Omocha Wars,"['Action', 'Comedy', 'Ecchi', 'Seinen']",,ONA,13.0,"[datetime.datetime(2016, 11, 9, 0, 0), datetime.datetime(2017, 2, 1, 0, 0)]",['Imagine'],['Unknown'],,Manga,7.0,G
1720,1720,1889,Higurashi no Naku Koro ni Kai,"['Mystery', 'Psychological', 'Supernatural', 'Thriller']",When They Cry:Kai,TV,24.0,"[datetime.datetime(2007, 7, 6, 0, 0), datetime.datetime(2007, 12, 18, 0, 0)]","['Geneon Universal Entertainment', 'Frontier Works', 'Sotsu', 'Movic']",['Sentai Filmworks'],Studio Deen,Visual novel,24.0,R
15976,15976,40112,Otome no Inori,['Music'],,Music,1.0,"[datetime.datetime(2008, 12, 26, 0, 0)]",['Unknown'],['Unknown'],,Light novel,2.0,G
16049,16049,40251,Cyborg 009: The Cyborg Soldier - Kami no Ubugoe,"['Action', 'Sci-Fi', 'Adventure', 'Mecha', 'Shounen']",,Special,1.0,"[datetime.datetime(2003, 8, 27, 0, 0)]",['Unknown'],['Discotek Media'],,Manga,24.0,PG13
15540,15540,39349,Uchina Experience,['Music'],Uchina Experience,Music,1.0,"[datetime.datetime(2006, 1, 1, 0, 0)]",['Unknown'],['Unknown'],,Original,4.0,G
16725,16725,41619,Munou na Nana,"['Psychological', 'Shounen', 'Super Power', 'Supernatural', 'Thriller']",,TV,13.0,"[datetime.datetime(2020, 10, 4, 0, 0), datetime.datetime(2020, 12, 27, 0, 0)]","['Square Enix', 'AT-X', 'Nippon Columbia', 'BS Fuji', 'Hakuhodo DY Music & Pictures', 'Docomo Anime Store', 'Yomiuri TV Enterprise', 'Kanon Sound', 'NichiNare', 'Kadokawa', 'Muse Communication', 'Show Corporation']",['Funimation'],Bridge,Manga,23.0,R
15559,15559,39371,Nintama Rantarou no Jitensha Anzen Kyoushitsu,"['Kids', 'Martial Arts']",,OVA,1.0,"[datetime.datetime(1997, 2, 20, 0, 0)]",['Unknown'],['Unknown'],,Manga,16.0,G
12264,12264,34134,One Punch Man 2nd Season,"['Action', 'Sci-Fi', 'Comedy', 'Parody', 'Super Power', 'Supernatural']",,TV,12.0,"[datetime.datetime(2019, 4, 10, 0, 0), datetime.datetime(2019, 7, 3, 0, 0)]","['TV Tokyo', 'Good Smile Company', 'Shueisha', 'JR East Marketing & Communications', 'Bandai Namco Arts', 'Bandai Spirits']",['VIZ Media'],J.C.Staff,Web manga,23.0,R
4411,4411,5998,Hottarake no Shima: Haruka to Mahou no Kagami,['Fantasy'],Oblivion Island:Haruka and the Magic Mirror,Movie,1.0,"[datetime.datetime(2009, 8, 22, 0, 0)]","['Dentsu', 'Pony Canyon', 'Fuji TV', 'Toho']",['Funimation'],"Production I.G, Polygon Pictures",Original,98.0,G
7445,7445,16480,Ojarumaru Yakusoku no Natsu Ojaru to Semira Movie,"['Adventure', 'Comedy', 'Fantasy']",Prince Mackaroo the Movie:The Promised Summer - Ojaru and Semira,Movie,1.0,"[datetime.datetime(2000, 7, 15, 0, 0)]",['Unknown'],['Unknown'],Gallop,,50.0,
10872,10872,31236,Chieri to Cherry,"['Adventure', 'Fantasy', 'Shoujo']",Chieri and Cherry,Movie,1.0,"[datetime.datetime(2016, 2, 20, 0, 0)]",['Frontier Works'],['Unknown'],,Original,54.0,G
908,908,1003,Aa! Megami-sama! (TV) Specials,"['Magic', 'Comedy', 'Romance', 'Supernatural', 'Seinen']",,Special,3.0,"[datetime.datetime(2005, 4, 1, 0, 0), datetime.datetime(2005, 12, 23, 0, 0)]","['Bandai Visual', 'AIC']","['Media Blasters', 'NYAV Post']",,Manga,24.0,PG13
7720,7720,17687,Bemubemu Hunter Kotengu Tenmaru,"['Adventure', 'Fantasy']",,TV,19.0,"[datetime.datetime(1983, 5, 26, 0, 0), datetime.datetime(1983, 10, 27, 0, 0)]",['Unknown'],['Unknown'],Toei Animation,,25.0,
7620,7620,17249,Pretty Rhythm: Rainbow Live,"['Slice of Life', 'Sports', 'Music', 'Shoujo']",,TV,51.0,"[datetime.datetime(2013, 4, 6, 0, 0), datetime.datetime(2014, 3, 29, 0, 0)]",['TV Tokyo'],['Unknown'],"Tatsunoko Production, Dongwoo A&E",Game,21.0,PG
7349,7349,15915,Magical Hat,"['Adventure', 'Comedy', 'Fantasy', 'Kids']",,TV,33.0,"[datetime.datetime(1989, 10, 18, 0, 0), datetime.datetime(1990, 7, 6, 0, 0)]","['E&G Films', 'Fuji TV', 'Yomiuri Advertising']",['Unknown'],Studio Pierrot,Manga,25.0,G
2082,2082,2276,Shin Saishuu Chikan Densha,['Hentai'],,OVA,3.0,"[datetime.datetime(2004, 8, 25, 0, 0), datetime.datetime(2005, 5, 25, 0, 0)]","['Milky Animation Label', 'T-Rex']",['Unknown'],,Visual novel,30.0,Rx
16114,16114,40363,RoboCop,"['Dementia', 'Music']",,Music,1.0,"[datetime.datetime(2019, 5, 15, 0, 0)]",['Unknown'],['Unknown'],,Original,2.0,G
13236,13236,35727,Mayoiga no Oneesan The Animation,['Hentai'],,OVA,1.0,"[datetime.datetime(2017, 7, 7, 0, 0)]",['Unknown'],['Unknown'],T-Rex,Manga,16.0,Rx
5463,5463,8655,Bijukubo,['Hentai'],,OVA,2.0,"[datetime.datetime(2010, 7, 9, 0, 0), datetime.datetime(2010, 10, 8, 0, 0)]",['Digital Works'],['Unknown'],Y.O.U.C,Visual novel,30.0,Rx
1098,1098,1205,Aru Tabibito no Nikki,"['Adventure', 'Fantasy']",,ONA,6.0,"[datetime.datetime(2003, 3, 19, 0, 0), datetime.datetime(2003, 6, 4, 0, 0)]",['Robot Communications'],['Unknown'],,Original,3.0,G
11888,11888,33421,Hitori no Shita: The Outcast,"['Action', 'Super Power', 'Supernatural']",Hitori no Shita - The Outcast,TV,12.0,"[datetime.datetime(2016, 7, 9, 0, 0), datetime.datetime(2016, 9, 24, 0, 0)]","['Haoliners Animation League', 'Tencent Animation & Comics', 'Emon']",['Unknown'],Namu Animation,Web manga,24.0,R
13464,13464,36161,"Annyeong, Jeonwoochi! Dosoolrobotdaegyeoljeon","['Sci-Fi', 'Kids', 'Martial Arts']",,Movie,1.0,"[datetime.datetime(2015, 10, 8, 0, 0)]",['Unknown'],['Unknown'],,Original,88.0,PG
3145,3145,3577,Kyouran Kazoku Nikki,"['Comedy', 'Sci-Fi']",,TV,26.0,"[datetime.datetime(2008, 4, 12, 0, 0), datetime.datetime(2008, 10, 4, 0, 0)]",['Lantis'],['Unknown'],Nomad,Light novel,24.0,PG13
13813,13813,36720,Youkoso! Sukebe Elf no Mori e,"['Harem', 'Hentai', 'Supernatural', 'Fantasy']",,OVA,4.0,"[datetime.datetime(2018, 2, 2, 0, 0), datetime.datetime(2020, 8, 7, 0, 0)]",['Unknown'],['Unknown'],T-Rex,Visual novel,16.0,Rx
12656,12656,34855,Gabriel DropOut Specials,"['Comedy', 'Demons', 'Supernatural', 'School', 'Shounen']",,Special,2.0,"[datetime.datetime(2017, 3, 24, 0, 0), datetime.datetime(2017, 5, 24, 0, 0)]",['Unknown'],['Unknown'],Doga Kobo,Manga,15.0,PG13
10923,10923,31374,Shingeki! Kyojin Chuugakkou,"['Comedy', 'Parody', 'School', 'Shounen']",Attack on Titan:Junior High,TV,12.0,"[datetime.datetime(2015, 10, 4, 0, 0), datetime.datetime(2015, 12, 20, 0, 0)]","['Dentsu', 'Mainichi Broadcasting System', 'Pony Canyon', 'Kodansha', 'Pony Canyon Enterprise']",['Funimation'],Production I.G,Manga,17.0,PG13
12875,12875,35155,Kurayami wa Kiken ga Ippai,"['Drama', 'Kids']",,OVA,1.0,[nan],['Unknown'],['Unknown'],,Original,15.0,G
11248,11248,32149,Tatsunoko Pro x Peeping Life,"['Comedy', 'Slice of Life']",,ONA,2.0,"[datetime.datetime(2011, 12, 26, 0, 0), datetime.datetime(2012, 1, 18, 0, 0)]",['Unknown'],['Unknown'],,Original,4.0,G
586,586,623,Shichinin no Nana,"['Adventure', 'Comedy', 'Magic', 'Romance', 'School']",,TV,25.0,"[datetime.datetime(2002, 1, 10, 0, 0), datetime.datetime(2002, 6, 27, 0, 0)]","['TV Tokyo', 'Hal Film Maker', 'Genco', 'Asatsu DK', 'd-rights', 'AT-X', 'Studio Jack']","['Media Blasters', 'NYAV Post']",A.C.G.T.,Manga,24.0,PG13
6363,6363,10759,Kintarou,['Drama'],,Movie,1.0,"[datetime.datetime(1918, 3, 16, 0, 0)]",['Unknown'],['Unknown'],,Original,,G
8306,8306,20587,Ashinaga Ojisan,"['Comedy', 'Drama', 'Shoujo']",Daddy Long-Legs,Special,1.0,"[datetime.datetime(1979, 10, 10, 0, 0)]",['Fuji TV'],['Unknown'],Tatsunoko Production,,60.0,G
4365,4365,5916,Donguri no Ie,['Drama'],,Movie,1.0,"[datetime.datetime(1996, 1, 1, 0, 0)]",['Unknown'],['Unknown'],,Manga,100.0,G
4871,4871,7025,Kiseichuu no Ichiya,"['Dementia', 'Horror']",,Movie,1.0,"[datetime.datetime(1972, 1, 1, 0, 0)]",['Unknown'],['Unknown'],,Original,9.0,R
15448,15448,39217,Mijikamon Episode 0,['Comedy'],,ONA,1.0,"[datetime.datetime(2014, 3, 7, 0, 0)]",['Unknown'],['Unknown'],Kinema Citrus,Manga,2.0,G
13982,13982,36981,Neko no Dayan (2017),['Kids'],,TV,30.0,"[datetime.datetime(2017, 10, 14, 0, 0), datetime.datetime(2018, 5, 3, 0, 0)]",['Unknown'],['Unknown'],,Picture book,3.0,G
1260,1260,1391,Future GPX Cyber Formula,"['Adventure', 'Sci-Fi', 'Shounen', 'Sports']",,TV,37.0,"[datetime.datetime(1991, 3, 15, 0, 0), datetime.datetime(1991, 12, 20, 0, 0)]",['Unknown'],['Bandai Entertainment'],Sunrise,Original,24.0,PG
